Код;Коротка назва;Колір;Іконка;Детальний опис
785;Одеська ОДА;;;Одеська обласна державна адміністрація 
786;Полтавська ОДА;;;Полтавська обласна державна адміністрація 
787;Рівненська ОДА;;;Рівненська обласна державна адміністрація 
788;Сумська ОДА;;;Сумська обласна державна адміністрація 
789;Тернопільська ОДА;;;Тернопільська обласна державна адміністрація 
790;Харківська ОДА;;;Харківська обласна державна адміністрація 
791;Херсонська ОДА;;;Херсонська обласна державна адміністрація 
792;Хмельницька ОДА;;;Хмельницька обласна державна адміністрація 
793;Черкаська ОДА;;;Черкаська обласна державна адміністрація 
794;Чернівецька ОДА;;;Чернівецька обласна державна адміністрація 
795;Чернігівська ОДА;;;Чернігівська обласна державна адміністрація 
797;Севастопольська МДА;;;Севастопольська міська державна адміністрація 
868;ДСУ з питань регуляторної політики та розвитку підприємництва;;;Державна служба України з питань регуляторної політики та розвитку підприємництва
