Code;Short name;Color;Icon;Details
1;General fund;green;;General fund
7;Special fund (other funds);lightskyblue;;Special fund (other funds)
2;Own earnings;orange;;Own earnings
3;Other sources of own earnings;orange;;Other sources of own earnings
8;Revenues transferred form General to Special fund;darkorange;; Revenues transferred form General to Special fund
