ID_KEY;OBL;NU;KMB
007;06;Бюджет м. Новоград-Волинський;06204100000
007;07;Бюджет селища Батьово;07301401000
007;09;Бюджет с. Хриплин;09201505000
007;10;Бюджет м. ірпінь;10206100000
007;11;Бюджет селища Димитрове;11203402000
007;12;Бюджет м.Олександрівська;12201701000
007;13;Бюджет Шевченківський р-н;13201107000
007;14;Бюджет м.Вознесенська;14202100000
007;16;ДМИТРОВСКИЙ/С.ДМИТРОВКА;16202501000
007;17;Бюджет м. Березне;17301301000
007;18;Бюджет м. Глухова;18202100000
007;19;Бюджет с.Жовнівка;19301505000
007;20;Бюджет Московського району;20201606000
007;21;Бюджет селища Зеленівка;21201402000
007;22;м. Старокостянтинiв;22205100000
007;23;Бюджет м. Золотоноша;23203100000
007;24;Бюджет Вижницького р-ну;24301200000
007;25;Бюджет Бахмацького р-ну;25301200000
007;26;Бюджет Печерського району;26400606100
007;27;Бюджет Ленінського району;27400601100
008;01;Бюджет селища Партеніт;01202401000
008;02;ЛАДИЖИН;02204100000
008;03;Бюджет м. Устилуг;03301301000
008;04;Бюджет Красногвардійського району;04201606000
008;05;Бюджет Куйбишевського р-ну;05201606000
008;06;Бюджет Андрушівського р-ну;06301200000
008;07;Бюджет с.Батрадь;07301503000
008;09;Бюджет м. Болехова;09202300000
008;10;Бюджет м. Буча;10211100000
008;11;Бюджет селища Пантаєвка;11203401000
008;12;Бюджет м.Щастя;12309301000
008;13;Бюджет Сихівський р-н;13201105000
008;14;Бюджет м.Очакова;14203100000
008;16;КРЕМЕНЧУГ;16203100000
008;17;Бюджет селища Соснівка;17301401000
008;18;Бюджет м. Конотоп;18203100000
008;19;Бюджет с.Жуків;19301506000
008;20;Бюджет Жовтневого района;20201602000
008;21;Бюджет селища Надніпрянське;21201404000
008;22;Бiлогiрський р-н;22301200000
008;24;Бюджет м. Вижниця;24301301000
008;25;Бюджет м. Бахмач;25301301000
008;26;Бюджет Подільського району;26400607100
008;27;Бюджет Нахимівського р-ну;27400602100
009;01;Бюджет с.ізобільне;01202501000
009;02;МОГИЛIВ-ПОДIЛЬСЬКИЙ;02205100000
009;03;Бюджет с. Білин;03301501000
009;04;Бюджет Ленінського району;04201607000
