Код;Коротка назва;Колір;Іконка;Детальний опис
782;ЛОДА (Луганська);;;Луганська обласна державна адміністрація 
783;ЛОДА (Львівська);;;Львівська обласна державна адміністрація 
784;МОДА;;;Миколаївська обласна державна адміністрація 
785;ООДА;;;Одеська обласна державна адміністрація 
786;ПОДА;;;Полтавська обласна державна адміністрація 
787;РОДА;;;Рівненська обласна державна адміністрація 
788;СОДА;;;Сумська обласна державна адміністрація 
789;ТОДА;;;Тернопільська обласна державна адміністрація 
790;ХОДА (Харківська);;;Харківська обласна державна адміністрація 
791;ХОДА (Херсонська);;;Херсонська обласна державна адміністрація 
792;ХОДА (Хмельницька);;;Хмельницька обласна державна адміністрація 
793;ЧОДА (Черкаська);;;Черкаська обласна державна адміністрація 
794;ЧОДА (Чернівецька);;;Чернівецька обласна державна адміністрація 
795;ЧОДА (Чернігівська);;;Чернігівська обласна державна адміністрація 
797;СМДА;;;Севастопольська міська державна адміністрація 
868;ДСУ з питань регуляторної політики та розвитку підприємництва;;;Державна служба України з питань регуляторної політики та розвитку підприємництва
