Code;Short name;Color;Icon;Details
1;General Fund;green;;General Fund
7;Special Fund (other sources);lightskyblue;;Special Fund (other sources)
2;Own Revenues;orange;;Own Revenues
3;Other Own Revenues;orange;;Other Own Revenues
8;Funds Transferred from General to Special Fund;darkorange;;Funds Transferred from General to Special Fund
