Код;Коротка назва;Колір;Іконка;Детальний опис
1;Державний бюджет;;;Державний бюджет
2;Обласний бюджет;;;Обласний бюджет
3;Міський бюджет;;;Міський бюджет
4;Інші джерела;;;Інші джерела
