Код;Коротка назва;Колір;Іконка;Детальний опис
1;Кошик 1;#55bbff;;Видатки, що враховуються при визначенні обсягу міжбюджетних трансфертів
2;Кошик 2;#0b387c;;Видатки, що не враховуються при визначенні обсягу міжбюджетних трансфертів
3;Субвенції з держ. бюджету;#80b1d3;;
Інше;Інше;#b3de69;;
